"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/1/2025 4:00:26 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","0","Long : 28.13675. Lat : -25.8432","","1","",""
"4/1/2025 5:30:13 AM","JB 61 HF GP","","Start up","0","0","Long : 28.13671. Lat : -25.84319","","1","",""
"4/1/2025 5:32:00 AM","JB 61 HF GP","","Speed Violation","32","0.743","Long : 28.14238. Lat : -25.84254","","1","",""
"4/1/2025 5:34:00 AM","JB 61 HF GP","","Driving","20","1.638","Long : 28.14879. Lat : -25.84443","","1","",""
"4/1/2025 5:36:00 AM","JB 61 HF GP","","Driving","23","2.536","Long : 28.15133. Lat : -25.8403","","1","",""
"4/1/2025 5:38:00 AM","JB 61 HF GP","","Driving","2","3.753","Long : 28.16305. Lat : -25.84188","","1","",""
"4/1/2025 5:40:00 AM","JB 61 HF GP","","Driving","0","4.761","Long : 28.17279. Lat : -25.83977","","1","",""
"4/1/2025 5:42:00 AM","JB 61 HF GP","","Driving","0","5.773","Long : 28.18274. Lat : -25.83853","","1","",""
"4/1/2025 5:44:00 AM","JB 61 HF GP","","Driving","92","8.132","Long : 28.17449. Lat : -25.85608","","1","",""
"4/1/2025 5:46:00 AM","JB 61 HF GP","","Driving","86","11.124","Long : 28.16775. Lat : -25.88237","","1","",""
"4/1/2025 5:48:00 AM","JB 61 HF GP","","Driving","92","14.226","Long : 28.15784. Lat : -25.90872","","1","",""
"4/1/2025 5:50:00 AM","JB 61 HF GP","","Driving","83","17.304","Long : 28.14305. Lat : -25.93304","","1","",""
"4/1/2025 5:52:00 AM","JB 61 HF GP","","Driving","64","20.335","Long : 28.13296. Lat : -25.9588","","1","",""
"4/1/2025 5:52:25 AM","JB 61 HF GP","","GSM Jam","75","20.781","Long : 28.13177. Lat : -25.96267","","1","",""
"4/1/2025 5:54:00 AM","JB 61 HF GP","","Driving","86","23.208","Long : 28.12531. Lat : -25.98377","","1","",""
"4/1/2025 5:56:00 AM","JB 61 HF GP","","Driving","99","26.461","Long : 28.11746. Lat : -26.01209","","1","",""
