"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/4/2025 4:03:34 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","0","Long : 28.13668. Lat : -25.84321","","1","",""
"4/4/2025 5:44:43 AM","JB 61 HF GP","","Start up","0","0","Long : 28.13668. Lat : -25.84321","","1","",""
"4/4/2025 5:46:00 AM","JB 61 HF GP","","Driving","17","0.521","Long : 28.14053. Lat : -25.84168","","1","",""
"4/4/2025 5:48:00 AM","JB 61 HF GP","","Driving","24","1.385","Long : 28.1466. Lat : -25.84462","","1","",""
"4/4/2025 5:50:00 AM","JB 61 HF GP","","Driving","36","2.376","Long : 28.15029. Lat : -25.84101","","1","",""
"4/4/2025 5:52:00 AM","JB 61 HF GP","","Driving","48","3.440","Long : 28.16007. Lat : -25.84206","","1","",""
"4/4/2025 5:54:00 AM","JB 61 HF GP","","Driving","55","4.437","Long : 28.16965. Lat : -25.84002","","1","",""
"4/4/2025 5:56:00 AM","JB 61 HF GP","","Driving","0","5.753","Long : 28.18263. Lat : -25.83849","","1","",""
"4/4/2025 5:58:00 AM","JB 61 HF GP","","Driving","87","7.104","Long : 28.17976. Lat : -25.84833","","1","",""
"4/4/2025 5:59:51 AM","JB 61 HF GP","","GSM Jam","75","9.893","Long : 28.17051. Lat : -25.87162","","1","",""
"4/4/2025 6:00:00 AM","JB 61 HF GP","","Driving","89","10.090","Long : 28.17004. Lat : -25.87335","","1","",""
"4/4/2025 6:02:00 AM","JB 61 HF GP","","Driving","86","13.045","Long : 28.16295. Lat : -25.89923","","1","",""
"4/4/2025 6:04:00 AM","JB 61 HF GP","","Driving","82","15.738","Long : 28.15026. Lat : -25.92066","","1","",""
"4/4/2025 6:06:00 AM","JB 61 HF GP","","Driving","86","18.434","Long : 28.13856. Lat : -25.94256","","1","",""
"4/4/2025 6:08:00 AM","JB 61 HF GP","","Driving","78","21.151","Long : 28.13073. Lat : -25.96598","","1","",""
"4/4/2025 6:10:00 AM","JB 61 HF GP","","Driving","95","23.966","Long : 28.12319. Lat : -25.99052","","1","",""
"4/4/2025 6:12:00 AM","JB 61 HF GP","","Driving","89","27.015","Long : 28.11513. Lat : -26.01677","","1","",""
"4/4/2025 6:14:00 AM","JB 61 HF GP","","Driving","77","29.266","Long : 28.10756. Lat : -26.03594","","1","",""
"4/4/2025 6:16:00 AM","JB 61 HF GP","","Driving","82","31.792","Long : 28.09416. Lat : -26.0548","","1","",""
"4/4/2025 6:18:00 AM","JB 61 HF GP","","Driving","37","33.647","Long : 28.09027. Lat : -26.05785","","1","",""
"4/4/2025 6:20:00 AM","JB 61 HF GP","","Driving","30","34.360","Long : 28.08476. Lat : -26.05808","","1","",""
"4/4/2025 6:22:00 AM","JB 61 HF GP","","Driving; (GPS Unlock)","0","34.751","Long : 28.08835. Lat : -26.05918","","1","",""
